Year,Events
1700–1721:,Great Northern War between the Russian and Swedish Empires.
1701:,Kingdom of Prussia declared under King Frederick I.
1701:,Ashanti Empire is formed under Osei Kofi Tutu I.
1701–1714:,"War of the Spanish Succession is fought, involving most of continental Europe.[1]"
1701–1702:,The Daily Courant and The Norwich Post become the first daily newspapers in England.
1702:,Forty-seven rōnin attack Kira Yoshinaka and then commit seppuku in Japan.
1702–1715:,Camisard Rebellion in France.
1703:,Saint Petersburg is founded by Peter the Great; it is the Russian capital until 1918.
1703–1711:,The Rákóczi Uprising against the Habsburg Monarchy.
1704:,End of Japan's Genroku period.
1704:,First Javanese War of Succession.[2]
1705:,"George Frideric Handel's first opera, Almira, premieres."
1706:,War of the Spanish Succession: French troops defeated at the battles of Ramillies and Turin.
1706:,The first English-language edition of the Arabian Nights is published.
1707:,"The Act of Union is passed, merging the Scottish and English Parliaments, thus establishing the Kingdom of Great Britain.[3]"
1707:,"After Aurangzeb's death, the Mughal Empire enters a long decline and the Maratha Empire slowly replaces it."
1707:,Mount Fuji erupts in Japan for the first time in 10000 years.
1707:,War of 27 Years between the Marathas and Mughals ends in India.
1708:,The Company of Merchants of London Trading into the East Indies and English Company Trading to the East Indies merge to form the United Company of Merchants of England Trading to the East Indies.
1708–1709:,Famine kills one-third of East Prussia's population.
1709:,The Great Frost of 1709 marks the coldest winter in 500 years.
1709:,Hotak dynasty founded in Afghanistan.
1709:,Charles XII of Sweden flees to the Ottoman Empire after Peter I of Russia defeats his army at the Battle of Poltava.
1710:,"The world's first copyright legislation, Britain's Statute of Anne, takes effect."
1710–1711:,Ottoman Empire fights Russia in the Russo-Turkish War.
1711–1715:,"Tuscarora War between British, Dutch, and German settlers and the Tuscarora people of North Carolina."
1712:,War of the Spanish Succession: The French defeat a combined Dutch-Austrian force at the Battle of Denain.
1712:,The first shipment of coffee from Java reaches Amsterdam.[4]
1713:,The Treaty of Utrecht ends the War of the Spanish Succession.
1713–1714:,Tarabai establishes the rival Maratha Empire government in Kolhapur against Chattrapati Shahu.
1714:,"Accession of George I, Elector of Hanover, to the throne of Great Britain."
1715:,The first Jacobite rising breaks out; the British halt the Jacobite advance at the Battle of Sheriffmuir; Battle of Preston.
