Year,Events
1801:,Giuseppe Piazzi discovers the dwarf planet Ceres. – Italy
1801:,"Alexander Hamilton launches the New York Evening Post as the Federalist ""Vehicle"" for their news. – United States"
1801:,"Thomas Jefferson elected President of the United States by the House of Representatives, following a tie in the Electoral College. – United States"
1801:,The Kingdom of Great Britain and the Kingdom of Ireland merge to form the United Kingdom.
1801:,Ranjit Singh crowned as King of Punjab.
1801:,Napoleon signs the Concordat of 1801 with the Pope.
1801:,Cairo falls to the British.
1801:,Assassination of Tsar Paul I of Russia.
1801:,British defeat French at the Second Battle of Abukir.
1801-1815:,the First Barbary War and the Second Barbary War between the United States and the Barbary States of North Africa.
1802:,Treaty of Amiens between France and the United Kingdom ends the War of the Second Coalition.
1802:,Ludwig van Beethoven performs his Moonlight Sonata for the first time.
1803:,In 1803 the United Stated continued to expand and added Ohio as a state [1]
1803:,"William Symington demonstrates his Charlotte Dundas, the ""first practical steamboat""."
1803:,"The United States more than doubles in size when it buys out France's territorial claims in North America via the Louisiana Purchase. This begins the U.S.'s westward expansion to the Pacific referred to as its Manifest Destiny which involves annexing and conquering land from Mexico, Britain, and Native Americans."
1803:,The Wahhabis of the First Saudi State capture Mecca and Medina.
1803:,War breaks out between Britain and France; this is considered by some to be the beginning of the Napoleonic Wars.
1803:,First phase of Padri War. (to 1825)
1804:,Haiti gains independence from France and becomes the first black republic.
1804–1813:,Russo-Persian War.
1804:,Lewis and Clark Expedition
1804:,Napoleon crowns himself Emperor of the French.
1804:,World population reaches 1 billion.
1804:,First steam locomotive begins operation.
1804:,Morphine first isolated.
1804-1810:,Fulani Jihad in Nigeria.
1804-1815:,Serbian revolution erupts against the Ottoman rule. Suzerainty of Serbia recognized in 1817.
1805:,"The Battle of Trafalgar eliminates the French and Spanish naval fleets and allows for British dominance of the seas, a major factor for the success of the British Empire later in the century."
1805:,Napoleon decisively defeats an Austrian-Russian army at the Battle of Austerlitz.
1805:1848:,Muhammad Ali modernizes Egypt.
1806:,Holy Roman Empire dissolved as a consequence of the Treaty of Pressburg.
1806:,Cape Colony becomes part of the British Empire.
1806-1812:,"Russo-Turkish War, Treaty of Bucharest."
1807:,"Britain declares the Slave Trade illegal.  U.S. Congress and President Jefferson declare the Slave Trade illegal, taking effect as per the Constitution (Article 1, Section 9, Clause 1) on 1 Jan 1808."
1807:,Potassium and Sodium are individually isolated by Humphry Davy.
1808:,Beethoven performs his Fifth Symphony.
1808-1809:,Russia conquers Finland from Sweden in the Finnish War.
1808-1814:,Spanish guerrillas fight in the Peninsular War.
1808:,Herman Willem Daendels the Governor-general of the Dutch East Indies (1808–1811) begin the construction of Java Great Post Road.[2]
1809:,Napoleon strips the Teutonic Knights of their last holdings in Bad Mergentheim.
1810:,"The University of Berlin was founded. Among its students and faculty are Hegel, Marx, and Bismarck. The German university reform proves to be so successful that its model is copied around the world (see History of European research universities)."
1810:,The Grito de Dolores begins the Mexican War of Independence.
1810:,The trumpet gets valves.
1812:,The French invasion of Russia is a turning point in the Napoleonic Wars.
1812:,British Prime Minister Spencer Perceval is assassinated.
1812-1815:,"War of 1812 between the United States and Britain; ends in a draw, except that Native Americans lose power."
1813:,Jane Austen publishes Pride and Prejudice.
1813-1837:,Afghan-Sikh Wars.
1814:,Napoleon abdicates and is exiled to Elba.
1814:,Elisha Collier invents the Flintlock Revolver.
1815:,"The Congress of Vienna redraws the European map. Reaction and conservatism dominate all of Europe.[3]  The Concert of Europe attempts to preserve this settlement, but the forces of liberalism and nationalism make for dramatic changes. It marks the beginning of a Pax Britannica which lasts until 1914."
1815:,Napoleon escapes exile and begins the Hundred Days before finally being defeated at the Battle of Waterloo and exiled to St Helena. His defeat brings a conclusion to the Napoleonic Wars.
1815:,"April, Mount Tambora in Sumbawa island erupts, becoming the largest volcanic eruption in recorded history, destroying Tambora culture, and killing at least 71,000 people, including its aftermath. The eruption created global climate anomalies known as ""volcanic winter"".[4]"
1815:,Jane Austen publishes Emma in December.
1816:,"Year Without a Summer: Unusually cold conditions wreak havoc throughout the Northern Hemisphere, likely influenced by the 1815 explosion of Mount Tambora."
1816:,Independence of Argentina.
1816:,Dandy horse/velocipede bicycle invented.
1816-1828:,Shaka's Zulu Kingdom becomes the largest in Southern Africa.
1817:,Principality of Serbia becomes suzerain from the Ottoman Empire. Officially independent in 1867.
1817:,First Seminole War begins in Florida.
1817:,Russia commences its conquest of the Caucasus.
1817:,Princess Charlotte of Wales dies following childbirth.
1818:,Mary Shelley publishes Frankenstein.
1818:,Independence of Chile.
1819:,Trustees of Dartmouth College v. Woodward.
1819:,McCulloch v. Maryland.
1819:,John Keats writes his odes of 1819.
1819:,Peterloo Massacre in England.
1819:,The modern city of Singapore is established by the British East India Company.
1819:,"Théodore Géricault paints his masterpiece The Raft of the Medusa, and exhibits it in the French Salon of 1819 at the Louvre."
1820:,Missouri Compromise.
1820:,Regency period ends in the United Kingdom.
1820:,Revolutions of 1820 in Southern Europe.
1820:,Discovery of Antarctica.
